id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
missile-3m-14-kalibr-may-2022,Missile 3M 14 Kalibr May 2022,[],"[""RU""]",RU,missile,unknown,20,https://war-sanctions.gur.gov.ua/en/page-missile-3m-14-kalibr-may-2022,[],,2026-06-13,Auto-registered from GUR component listing
uav-lancet-3,UAV Lancet 3,[],"[""RU""]",RU,loitering_munition,unknown,19,https://war-sanctions.gur.gov.ua/en/page-uav-lancet-3,[],,2026-06-13,Auto-registered from GUR component listing
transportable-transceiver-grot-v,Transportable Transceiver Grot V,[],"[""UNK""]",UNK,unknown,unknown,10,https://war-sanctions.gur.gov.ua/en/page-transportable-transceiver-grot-v,[],,2026-06-13,Auto-registered from GUR component listing
combat-attack-helicopter-ka-52-code-alligator-index-800-06,Combat Attack Helicopter Ka 52 Code Alligator Index 800 06,[],"[""UNK""]",UNK,unknown,unknown,127,https://war-sanctions.gur.gov.ua/en/page-combat-attack-helicopter-ka-52-code-alligator-index-800-06,[],,2026-06-13,Auto-registered from GUR component listing
army-self-propelled-gun-2s5m-hyacinth-s,Army Self Propelled Gun 2S5M Hyacinth S,[],"[""UNK""]",UNK,unknown,unknown,26,https://war-sanctions.gur.gov.ua/en/page-army-self-propelled-gun-2s5m-hyacinth-s,[],,2026-06-13,Auto-registered from GUR component listing
orlan-10-uav-june-2022,Orlan 10 UAV June 2022,[],"[""RU""]",RU,isr,unknown,7,https://war-sanctions.gur.gov.ua/en/page-orlan-10-uav-june-2022,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-101-usage-from-june-2022,Missile Kh-101 Usage From June 2022,[],"[""RU""]",RU,missile,unknown,6,https://war-sanctions.gur.gov.ua/en/page-missile-kh-101-usage-from-june-2022,[],,2026-06-13,Auto-registered from GUR component listing
automated-station-for-placing-obstacles-r-330zh-zhitel,Automated Station For Placing Obstacles R 330Zh Zhitel,[],"[""UNK""]",UNK,ew,unknown,6,https://war-sanctions.gur.gov.ua/en/page-automated-station-for-placing-obstacles-r-330zh-zhitel,[],,2026-06-13,Auto-registered from GUR component listing
mobile-artillery-reconnaissance-and-fire-control-point-1b119-rheostat,Mobile Artillery Reconnaissance And Fire Control Point 1B119 Rheostat,[],"[""UNK""]",UNK,unknown,unknown,30,https://war-sanctions.gur.gov.ua/en/page-mobile-artillery-reconnaissance-and-fire-control-point-1b119-rheostat,[],,2026-06-13,Auto-registered from GUR component listing
basic-set-of-the-intelligence-management-and-communication-complex-of-military-intelligence-kruz-vr-strilets,Basic Set Of The Intelligence Management And Communication Complex Of Military Intelligence Kruz Vr Strilets,[],"[""UNK""]",UNK,unknown,unknown,31,https://war-sanctions.gur.gov.ua/en/page-basic-set-of-the-intelligence-management-and-communication-complex-of-military-intelligence-kruz-vr-strilets,[],,2026-06-13,Auto-registered from GUR component listing
t-72b3-tank,T 72B3 Tank,[],"[""UNK""]",UNK,unknown,unknown,63,https://war-sanctions.gur.gov.ua/en/page-t-72b3-tank,[],,2026-06-13,Auto-registered from GUR component listing
search-receiver-r-168pp,Search Receiver R 168Pp,[],"[""UNK""]",UNK,unknown,unknown,2,https://war-sanctions.gur.gov.ua/en/page-search-receiver-r-168pp,[],,2026-06-13,Auto-registered from GUR component listing
mobile-vhf-radio-station-r-168-25u-2,Mobile Vhf Radio Station R 168 25U 2,[],"[""UNK""]",UNK,ew,unknown,23,https://war-sanctions.gur.gov.ua/en/page-mobile-vhf-radio-station-r-168-25u-2,[],,2026-06-13,Auto-registered from GUR component listing
portable-vhf-radio-station-r-168-5un-2,Portable Vhf Radio Station R 168 5Un 2,[],"[""UNK""]",UNK,ew,unknown,17,https://war-sanctions.gur.gov.ua/en/page-portable-vhf-radio-station-r-168-5un-2,[],,2026-06-13,Auto-registered from GUR component listing
communication-encryption-equipment-t-231-2a-163-006634,Communication Encryption Equipment T 231 2A 163 006634,[],"[""UNK""]",UNK,unknown,unknown,2,https://war-sanctions.gur.gov.ua/en/page-communication-encryption-equipment-t-231-2a-163-006634,[],,2026-06-13,Auto-registered from GUR component listing
eleron-uav-204,Eleron UAV 204,[],"[""RU""]",RU,isr,unknown,6,https://war-sanctions.gur.gov.ua/en/page-eleron-uav-204,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-59mk-used-from-march-2022,Missile Kh-59Mk Used From March 2022,[],"[""RU""]",RU,missile,unknown,5,https://war-sanctions.gur.gov.ua/en/page-missile-kh-59mk-used-from-march-2022,[],,2026-06-13,Auto-registered from GUR component listing
kamaz-63968-typhoon-k,Kamaz 63968 Typhoon K,[],"[""UNK""]",UNK,unknown,unknown,5,https://war-sanctions.gur.gov.ua/en/page-kamaz-63968-typhoon-k,[],,2026-06-13,Auto-registered from GUR component listing
t-72b3m-tank,T 72B3M Tank,[],"[""UNK""]",UNK,unknown,unknown,2,https://war-sanctions.gur.gov.ua/en/page-t-72b3m-tank,[],,2026-06-13,Auto-registered from GUR component listing
